step,hot_expert,expert_popularity,default_cost,default_cost_reduction_pct,default_latency_ms,policy2_cost,policy2_cost_reduction_pct,policy2_latency_ms,policy3_cost,policy3_cost_reduction_pct,policy3_latency_ms,policy4_cost,policy4_cost_reduction_pct,policy4_latency_ms
12,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,381898.250631,0.000000,27.626337,317694.548005,16.811730,27.326685,321278.548005,15.873260,26.566795,318590.548005,16.577112,27.336135
13,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,381898.250631,0.000000,28.174090,317694.548005,16.811730,25.660616,321278.548005,15.873260,26.710004,318590.548005,16.577112,27.054137
14,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,381898.250631,0.000000,28.264337,317694.548005,16.811730,25.429477,321278.548005,15.873260,27.009645,318590.548005,16.577112,26.154374
15,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,378322.010970,0.000000,26.280207,290793.693484,23.135930,25.643861,294377.693484,22.188589,24.613424,291689.693484,22.899095,25.106683
16,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,378322.010970,0.000000,29.079499,290793.693484,23.135930,28.035068,294377.693484,22.188589,27.004230,291689.693484,22.899095,26.453742
17,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,378322.010970,0.000000,29.441313,290793.693484,23.135930,26.362233,294377.693484,22.188589,25.395245,291689.693484,22.899095,24.175520
18,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,378322.010970,0.000000,28.660328,290793.693484,23.135930,24.313683,294377.693484,22.188589,23.910424,291689.693484,22.899095,25.595526
19,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,378322.010970,0.000000,27.995433,290793.693484,23.135930,25.411692,294377.693484,22.188589,26.993131,291689.693484,22.899095,26.043384
20,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,378322.010970,0.000000,28.110817,290793.693484,23.135930,26.446992,294377.693484,22.188589,25.707575,291689.693484,22.899095,26.280447
21,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,378322.010970,0.000000,29.792847,290793.693484,23.135930,25.354201,294377.693484,22.188589,26.304310,291689.693484,22.899095,26.533517
22,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,378322.010970,0.000000,27.520199,290793.693484,23.135930,26.060813,294377.693484,22.188589,24.815054,291689.693484,22.899095,25.771423
23,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,398767.058293,0.000000,27.983890,328037.205840,17.737135,27.418205,331621.205840,16.838365,27.357709,328933.205840,17.512443,26.092816
24,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,398767.058293,0.000000,27.070255,328037.205840,17.737135,27.991092,331621.205840,16.838365,27.315531,328933.205840,17.512443,25.034385
25,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,398767.058293,0.000000,27.685354,328037.205840,17.737135,25.818095,331621.205840,16.838365,26.125379,328933.205840,17.512443,25.188885
26,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,398767.058293,0.000000,27.622242,328037.205840,17.737135,26.127238,331621.205840,16.838365,26.422540,328933.205840,17.512443,27.387331
27,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,398767.058293,0.000000,28.138558,328037.205840,17.737135,25.569485,331621.205840,16.838365,25.228601,328933.205840,17.512443,26.136830
28,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,398767.058293,0.000000,28.877682,328037.205840,17.737135,27.292794,331621.205840,16.838365,26.145470,328933.205840,17.512443,27.488648
29,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,398767.058293,0.000000,28.308859,328037.205840,17.737135,26.061385,331621.205840,16.838365,26.961678,328933.205840,17.512443,26.501932
30,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,515127.942993,0.000000,27.075428,346554.773085,32.724524,25.002322,350138.773085,32.028775,25.533765,347450.773085,32.550587,26.417763
31,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,515127.942993,0.000000,27.140510,346554.773085,32.724524,25.541929,350138.773085,32.028775,25.423664,347450.773085,32.550587,25.326248
32,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,515127.942993,0.000000,26.993768,346554.773085,32.724524,26.361114,350138.773085,32.028775,26.448175,347450.773085,32.550587,26.646946
33,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,515127.942993,0.000000,28.347724,346554.773085,32.724524,26.540520,350138.773085,32.028775,25.843378,347450.773085,32.550587,26.169957
34,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,515127.942993,0.000000,27.707860,346554.773085,32.724524,25.536600,350138.773085,32.028775,25.152758,347450.773085,32.550587,24.526318
35,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,515127.942993,0.000000,27.627680,346554.773085,32.724524,24.458498,350138.773085,32.028775,24.519612,347450.773085,32.550587,25.059736
36,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,515127.942993,0.000000,27.493532,346554.773085,32.724524,27.017563,350138.773085,32.028775,26.839025,347450.773085,32.550587,26.241308
37,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,515127.942993,0.000000,28.614112,346554.773085,32.724524,24.671762,350138.773085,32.028775,25.639366,347450.773085,32.550587,24.216316
38,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,533481.266475,0.000000,27.475271,354402.735517,33.567914,24.907157,357986.735517,32.896100,25.053975,355298.735517,33.399960,25.999847
39,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,533481.266475,0.000000,27.347221,354402.735517,33.567914,27.234088,357986.735517,32.896100,24.938481,355298.735517,33.399960,25.993446
40,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,533481.266475,0.000000,26.711015,354402.735517,33.567914,26.027846,357986.735517,32.896100,24.361948,355298.735517,33.399960,25.469561
41,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,533481.266475,0.000000,27.977760,354402.735517,33.567914,25.959985,357986.735517,32.896100,25.842802,355298.735517,33.399960,25.625323
42,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,533481.266475,0.000000,27.863647,354402.735517,33.567914,26.873171,357986.735517,32.896100,24.981418,355298.735517,33.399960,25.321999
43,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,533481.266475,0.000000,27.604914,354402.735517,33.567914,25.408834,357986.735517,32.896100,24.577307,355298.735517,33.399960,24.979628
44,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,533481.266475,0.000000,28.389908,354402.735517,33.567914,24.832768,357986.735517,32.896100,25.725648,355298.735517,33.399960,24.841733
45,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,520214.393762,0.000000,29.127779,355422.338355,31.677719,25.342092,359006.338355,30.988773,26.920519,356318.338355,31.505483,25.864153
46,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,520214.393762,0.000000,27.878257,355422.338355,31.677719,26.214732,359006.338355,30.988773,26.443490,356318.338355,31.505483,26.693714
47,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,520214.393762,0.000000,29.104304,355422.338355,31.677719,26.170241,359006.338355,30.988773,24.564018,356318.338355,31.505483,26.214836
48,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,520214.393762,0.000000,27.913660,355422.338355,31.677719,25.777035,359006.338355,30.988773,26.525789,356318.338355,31.505483,24.886718
49,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,520214.393762,0.000000,29.057562,355422.338355,31.677719,27.380424,359006.338355,30.988773,25.952916,356318.338355,31.505483,25.212267
50,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,520214.393762,0.000000,29.091429,355422.338355,31.677719,25.597395,359006.338355,30.988773,26.353627,356318.338355,31.505483,26.475303
51,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,520214.393762,0.000000,26.766840,355422.338355,31.677719,25.710061,359006.338355,30.988773,24.277806,356318.338355,31.505483,24.896596
52,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,520214.393762,0.000000,28.472980,355422.338355,31.677719,24.486769,359006.338355,30.988773,24.923299,356318.338355,31.505483,25.092909
53,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,491458.714312,0.000000,28.234590,351726.740721,28.432088,25.988475,355310.740721,27.702830,26.122116,352622.740721,28.249773,25.314661
54,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,491458.714312,0.000000,27.374774,351726.740721,28.432088,26.036299,355310.740721,27.702830,25.062233,352622.740721,28.249773,25.065515
55,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,491458.714312,0.000000,28.541799,351726.740721,28.432088,25.062405,355310.740721,27.702830,25.032979,352622.740721,28.249773,26.625762
56,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,491458.714312,0.000000,27.940476,351726.740721,28.432088,23.903357,355310.740721,27.702830,25.151634,352622.740721,28.249773,27.284478
57,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,491458.714312,0.000000,30.258112,351726.740721,28.432088,25.460809,355310.740721,27.702830,26.322226,352622.740721,28.249773,26.307632
58,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,491458.714312,0.000000,28.226531,351726.740721,28.432088,24.233947,355310.740721,27.702830,26.561282,352622.740721,28.249773,25.937128
59,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,491458.714312,0.000000,27.782041,351726.740721,28.432088,24.394998,355310.740721,27.702830,25.246980,352622.740721,28.249773,25.619705
