step,hot_expert,expert_popularity,default_cost,default_cost_reduction_pct,default_latency_ms,policy2_cost,policy2_cost_reduction_pct,policy2_latency_ms,policy3_cost,policy3_cost_reduction_pct,policy3_latency_ms,policy4_cost,policy4_cost_reduction_pct,policy4_latency_ms
28,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,712055.504214,0.000000,28.877682,328037.205840,53.930950,24.397289,331621.205840,53.427619,23.218330,328933.205840,53.805117,24.585234
29,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,712055.504214,0.000000,28.308859,328037.205840,53.930950,23.165880,331621.205840,53.427619,24.034538,328933.205840,53.805117,23.598518
30,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,687565.071459,0.000000,27.075428,346554.773085,49.596804,23.652540,350138.773085,49.075544,24.170024,347450.773085,49.466489,25.064491
31,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,687565.071459,0.000000,27.140510,346554.773085,49.596804,24.192147,350138.773085,49.075544,24.059923,347450.773085,49.466489,23.972976
32,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,687565.071459,0.000000,26.993768,346554.773085,49.596804,25.011332,350138.773085,49.075544,25.084433,347450.773085,49.466489,25.293674
33,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,687565.071459,0.000000,28.347724,346554.773085,49.596804,25.190738,350138.773085,49.075544,24.479636,347450.773085,49.466489,24.816685
34,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,687565.071459,0.000000,27.707860,346554.773085,49.596804,24.186818,350138.773085,49.075544,23.789017,347450.773085,49.466489,23.173045
35,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,687565.071459,0.000000,27.627680,346554.773085,49.596804,23.108716,350138.773085,49.075544,23.155871,347450.773085,49.466489,23.706464
36,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,687565.071459,0.000000,27.493532,346554.773085,49.596804,25.667781,350138.773085,49.075544,25.475283,347450.773085,49.466489,24.888036
37,4,0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210,687565.071459,0.000000,28.614112,346554.773085,49.596804,23.321980,350138.773085,49.075544,24.275624,347450.773085,49.466489,22.863044
38,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,652405.033892,0.000000,27.475271,354402.735517,45.677498,23.938390,357986.735517,45.128146,24.075411,355298.735517,45.540160,25.028631
39,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,652405.033892,0.000000,27.347221,354402.735517,45.677498,26.265321,357986.735517,45.128146,23.959917,355298.735517,45.540160,25.022230
40,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,652405.033892,0.000000,26.711015,354402.735517,45.677498,25.059079,357986.735517,45.128146,23.383384,355298.735517,45.540160,24.498345
41,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,652405.033892,0.000000,27.977760,354402.735517,45.677498,24.991218,357986.735517,45.128146,24.864238,355298.735517,45.540160,24.654107
42,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,652405.033892,0.000000,27.863647,354402.735517,45.677498,25.904404,357986.735517,45.128146,24.002854,355298.735517,45.540160,24.350783
43,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,652405.033892,0.000000,27.604914,354402.735517,45.677498,24.440067,357986.735517,45.128146,23.598743,355298.735517,45.540160,24.008412
44,3,0.049923;0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132,652405.033892,0.000000,28.389908,354402.735517,45.677498,23.864002,357986.735517,45.128146,24.747084,355298.735517,45.540160,23.870517
45,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,610416.636729,0.000000,29.127779,355422.338355,41.773812,24.534405,359006.338355,41.186672,26.104687,356318.338355,41.627027,25.054429
46,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,610416.636729,0.000000,27.878257,355422.338355,41.773812,25.407044,359006.338355,41.186672,25.627658,356318.338355,41.627027,25.883990
47,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,610416.636729,0.000000,29.104304,355422.338355,41.773812,25.362553,359006.338355,41.186672,23.748186,356318.338355,41.627027,25.405112
48,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,610416.636729,0.000000,27.913660,355422.338355,41.773812,24.969348,359006.338355,41.186672,25.709957,356318.338355,41.627027,24.076994
49,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,610416.636729,0.000000,29.057562,355422.338355,41.773812,26.572736,359006.338355,41.186672,25.137084,356318.338355,41.627027,24.402543
50,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,610416.636729,0.000000,29.091429,355422.338355,41.773812,24.789708,359006.338355,41.186672,25.537795,356318.338355,41.627027,25.665580
51,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,610416.636729,0.000000,26.766840,355422.338355,41.773812,24.902374,359006.338355,41.186672,23.461974,356318.338355,41.627027,24.086872
52,2,0.041492;0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923,610416.636729,0.000000,28.472980,355422.338355,41.773812,23.679082,359006.338355,41.186672,24.107467,356318.338355,41.627027,24.283185
53,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,563713.039096,0.000000,28.234590,351726.740721,37.605357,25.254614,355310.740721,36.969572,25.380776,352622.740721,37.446410,24.578930
54,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,563713.039096,0.000000,27.374774,351726.740721,37.605357,25.302437,355310.740721,36.969572,24.320894,352622.740721,37.446410,24.329784
55,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,563713.039096,0.000000,28.541799,351726.740721,37.605357,24.328544,355310.740721,36.969572,24.291640,352622.740721,37.446410,25.890031
56,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,563713.039096,0.000000,27.940476,351726.740721,37.605357,23.169496,355310.740721,36.969572,24.410295,352622.740721,37.446410,26.548747
57,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,563713.039096,0.000000,30.258112,351726.740721,37.605357,24.726948,355310.740721,36.969572,25.580886,352622.740721,37.446410,25.571901
58,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,563713.039096,0.000000,28.226531,351726.740721,37.605357,23.500085,355310.740721,36.969572,25.819943,352622.740721,37.446410,25.201397
59,1,0.035349;0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492,563713.039096,0.000000,27.782041,351726.740721,37.605357,23.661137,355310.740721,36.969572,24.505641,352622.740721,37.446410,24.883974
