policy,step,time_s,traffic_stress,weighted_edge_distance,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes,15,30.000,0.831027,0.064427,94.997706,128.333333,0.740242,0.000000
policy1,15,30.000,0.831027,0.064427,90.693017,128.333333,0.706699,0.000000
policy4,15,30.000,0.831027,0.064427,79.231266,128.333333,0.617386,0.000000
kubernetes,16,32.000,0.703681,0.159687,98.541078,128.817992,0.764964,0.000000
policy1,16,32.000,0.703681,0.159687,94.082944,128.817992,0.730356,0.000000
policy4,16,32.000,0.703681,0.159687,86.252987,128.817992,0.669573,0.000000
kubernetes,17,34.000,0.661681,0.075002,93.065688,129.541128,0.718426,0.000000
policy1,17,34.000,0.661681,0.075002,89.105496,129.541128,0.687855,0.000000
policy4,17,34.000,0.661681,0.075002,78.818926,129.541128,0.608447,0.000000
kubernetes,18,36.000,0.722252,0.102708,91.434797,130.480771,0.700753,0.000000
policy1,18,36.000,0.722252,0.102708,90.539070,130.480771,0.693888,0.000000
policy4,18,36.000,0.722252,0.102708,92.862471,130.480771,0.711695,0.000000
kubernetes,19,38.000,0.641501,0.164029,98.542450,131.608369,0.748755,0.000000
policy1,19,38.000,0.641501,0.164029,89.760850,131.608369,0.682030,0.000000
policy4,19,38.000,0.641501,0.164029,86.707318,131.608369,0.658828,0.000000
kubernetes,20,40.000,0.599119,0.106184,93.840163,132.889660,0.706151,0.000000
policy1,20,40.000,0.599119,0.106184,85.424675,132.889660,0.642824,0.000000
policy4,20,40.000,0.599119,0.106184,82.045009,132.889660,0.617392,0.000000
kubernetes,21,42.000,0.596158,0.108695,92.231130,134.285714,0.686828,0.000000
policy1,21,42.000,0.596158,0.108695,87.951730,134.285714,0.654960,0.000000
policy4,21,42.000,0.596158,0.108695,82.012511,134.285714,0.610731,0.000000
kubernetes,22,44.000,0.589761,0.094060,94.250617,135.754112,0.694274,0.000000
policy1,22,44.000,0.589761,0.094060,85.831891,135.754112,0.632260,0.000000
policy4,22,44.000,0.589761,0.094060,88.622807,135.754112,0.652819,0.000000
kubernetes,23,46.000,0.645512,0.133848,101.770751,137.250238,0.741498,0.000000
policy1,23,46.000,0.645512,0.133848,94.162407,137.250238,0.686064,0.000000
policy4,23,46.000,0.645512,0.133848,91.542658,137.250238,0.666976,0.000000
kubernetes,24,48.000,0.574447,0.116524,97.319838,138.728632,0.701512,0.000000
policy1,24,48.000,0.574447,0.116524,99.816563,138.728632,0.719509,0.000000
policy4,24,48.000,0.574447,0.116524,90.652055,138.728632,0.653449,0.000000
kubernetes,25,50.000,0.585101,0.089216,98.254457,140.144374,0.701095,0.000000
policy1,25,50.000,0.585101,0.089216,95.537931,140.144374,0.681711,0.000000
policy4,25,50.000,0.585101,0.089216,91.388808,140.144374,0.652105,0.000000
kubernetes,26,52.000,0.638170,0.111842,102.273303,141.454448,0.723012,0.000000
policy1,26,52.000,0.638170,0.111842,101.420504,141.454448,0.716983,0.000000
policy4,26,52.000,0.638170,0.111842,95.936110,141.454448,0.678212,0.000000
kubernetes,27,54.000,0.656473,0.081326,103.185887,142.619048,0.723507,0.000000
policy1,27,54.000,0.656473,0.081326,99.692642,142.619048,0.699014,0.000000
policy4,27,54.000,0.656473,0.081326,98.056538,142.619048,0.687542,0.000000
kubernetes,28,56.000,0.724276,0.115263,108.413332,143.602787,0.754953,0.000000
policy1,28,56.000,0.724276,0.115263,103.159498,143.602787,0.718367,0.000000
policy4,28,56.000,0.724276,0.115263,100.702893,143.602787,0.701260,0.000000
kubernetes,29,58.000,0.744224,0.082528,113.176700,144.375776,0.783904,0.000000
policy1,29,58.000,0.744224,0.082528,107.752566,144.375776,0.746334,0.000000
policy4,29,58.000,0.744224,0.082528,100.965806,144.375776,0.699326,0.000000
kubernetes,30,60.000,0.730692,0.072936,117.626394,144.914528,0.811695,0.000000
policy1,30,60.000,0.730692,0.072936,100.276747,144.914528,0.691972,0.000000
policy4,30,60.000,0.730692,0.072936,98.737026,144.914528,0.681347,0.000000
kubernetes,31,62.000,0.752588,0.081391,114.863518,145.202672,0.791057,0.000000
policy1,31,62.000,0.752588,0.081391,106.819843,145.202672,0.735660,0.000000
policy4,31,62.000,0.752588,0.081391,98.570460,145.202672,0.678847,0.000000
kubernetes,32,64.000,0.854052,0.135512,119.857638,145.231454,0.825287,0.000000
policy1,32,64.000,0.854052,0.135512,115.256519,145.231454,0.793606,0.000000
policy4,32,64.000,0.854052,0.135512,105.708072,145.231454,0.727859,0.000000
kubernetes,33,66.000,0.907505,0.092676,123.286339,145.000000,0.850251,0.000000
policy1,33,66.000,0.907505,0.092676,112.121309,145.000000,0.773250,0.000000
policy4,33,66.000,0.907505,0.092676,108.676046,145.000000,0.749490,0.000000
kubernetes,34,68.000,0.848668,0.092252,122.297284,144.515341,0.846258,0.000000
policy1,34,68.000,0.848668,0.092252,113.947468,144.515341,0.788480,0.000000
policy4,34,68.000,0.848668,0.092252,109.447324,144.515341,0.757341,0.000000
kubernetes,35,70.000,0.953860,0.121033,126.075695,143.792205,0.876791,0.000000
policy1,35,70.000,0.953860,0.121033,113.253963,143.792205,0.787622,0.000000
policy4,35,70.000,0.953860,0.121033,110.157198,143.792205,0.766086,0.000000
