step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
13,26.000,0.515725,0.109597,0.374678,61.886984,13.151639,44.961377,0.852573,0.000000,0.101307,0.995585,0.05065338,95.834062,128.130661,0.747940,0.000000
14,28.000,0.486378,0.098855,0.414767,58.365360,11.862636,49.772004,0.810846,0.142857,0.120850,0.995585,0.06042493,100.972724,128.101879,0.788222,0.000000
15,30.000,0.452381,0.095238,0.452381,54.285714,11.428571,54.285714,0.831027,0.000000,0.064427,0.985965,0.03221354,94.997706,128.333333,0.740242,0.000000
16,32.000,0.414767,0.098855,0.486378,49.772004,11.862636,58.365360,0.703681,0.000000,0.159687,0.985965,0.07984357,98.541078,128.817992,0.764964,0.000000
17,34.000,0.374678,0.109597,0.515725,44.961377,13.151639,61.886984,0.661681,0.000000,0.075002,0.985965,0.03750082,93.065688,129.541128,0.718426,0.000000
18,36.000,0.333333,0.127137,0.539530,40.000000,15.256417,64.743583,0.722252,0.000000,0.102708,1.000000,0.05135411,91.434797,130.480771,0.700753,0.000000
19,38.000,0.291989,0.150942,0.557070,35.038623,18.113016,66.848361,0.641501,0.142857,0.164029,0.982340,0.08201465,98.542450,131.608369,0.748755,0.000000
20,40.000,0.251900,0.180289,0.567811,30.227996,21.634640,68.137364,0.599119,0.000000,0.106184,0.982340,0.05309205,93.840163,132.889660,0.706151,0.000000
21,42.000,0.214286,0.214286,0.571429,25.714286,25.714286,68.571429,0.596158,0.066667,0.108695,0.967742,0.05434774,92.231130,134.285714,0.686828,0.000000
22,44.000,0.180289,0.251900,0.567811,21.634640,30.227996,68.137364,0.589761,0.000000,0.094060,0.960573,0.04702984,94.250617,135.754112,0.694274,0.000000
23,46.000,0.150942,0.291989,0.557070,18.113016,35.038623,66.848361,0.645512,0.000000,0.133848,0.946237,0.06692378,101.770751,137.250238,0.741498,0.000000
24,48.000,0.127137,0.333333,0.539530,15.256417,40.000000,64.743583,0.574447,0.066667,0.116524,0.949821,0.05826203,97.319838,138.728632,0.701512,0.000000
25,50.000,0.109597,0.374678,0.515725,13.151639,44.961377,61.886984,0.585101,0.000000,0.089216,0.991170,0.04460815,98.254457,140.144374,0.701095,0.000000
26,52.000,0.098855,0.414767,0.486378,11.862636,49.772004,58.365360,0.638170,0.000000,0.111842,0.991170,0.05592116,102.273303,141.454448,0.723012,0.000000
27,54.000,0.095238,0.452381,0.452381,11.428571,54.285714,54.285714,0.656473,0.000000,0.081326,0.986755,0.04066305,103.185887,142.619048,0.723507,0.000000
28,56.000,0.098855,0.486378,0.414767,11.862636,58.365360,49.772004,0.724276,0.000000,0.115263,0.991170,0.05763162,108.413332,143.602787,0.754953,0.000000
29,58.000,0.109597,0.515725,0.374678,13.151639,61.886984,44.961377,0.744224,0.000000,0.082528,0.977925,0.04126418,113.176700,144.375776,0.783904,0.000000
30,60.000,0.127137,0.539530,0.333333,15.256417,64.743583,40.000000,0.730692,0.066667,0.072936,0.982079,0.03646777,117.626394,144.914528,0.811695,0.000000
31,62.000,0.150942,0.557070,0.291989,18.113016,66.848361,35.038623,0.752588,0.000000,0.081391,0.978495,0.04069533,114.863518,145.202672,0.791057,0.000000
32,64.000,0.180289,0.567811,0.251900,21.634640,68.137364,30.227996,0.854052,0.000000,0.135512,0.978495,0.06775578,119.857638,145.231454,0.825287,0.000000
33,66.000,0.214286,0.571429,0.214286,25.714286,68.571429,25.714286,0.907505,0.000000,0.092676,0.971326,0.04633784,123.286339,145.000000,0.850251,0.000000
34,68.000,0.251900,0.567811,0.180289,30.227996,68.137364,21.634640,0.848668,0.000000,0.092252,0.967742,0.04612621,122.297284,144.515341,0.846258,0.000000
35,70.000,0.291989,0.557070,0.150942,35.038623,66.848361,18.113016,0.953860,0.000000,0.121033,0.956989,0.06051668,126.075695,143.792205,0.876791,0.000000
